Meeting,Date,Start_Time,End_Time,Booking_Type,Attendees
2.37,02/01/2019,9:00 AM,10:22 AM,Advance,1
1.27,02/01/2019,9:00 AM,11:00 AM,Advance,2
3.22,02/01/2019,9:30 AM,9:47 AM,Advance,3
1.56,02/01/2019,9:45 AM,3:45 PM,Advance,2
2.39,02/01/2019,10:00 AM,10:30 AM,Advance,10
2.22,02/01/2019,10:30 AM,11:00 AM,Advance,2
2.37,02/01/2019,10:30 AM,2:00 PM,Advance,3
4.17,02/01/2019,10:30 AM,10:33 AM,Advance,3
1.14,02/01/2019,10:30 AM,10:30 AM,Advance,14
3.05,02/01/2019,10:45 AM,1:00 PM,Advance,5
1.54,02/01/2019,10:45 AM,1:45 PM,Advance,1
1.14,02/01/2019,10:46 AM,11:00 AM,TurnUp,2
3.19,02/01/2019,11:00 AM,11:06 AM,Advance,8
2.23,02/01/2019,11:00 AM,11:19 AM,Advance,1
4.19,02/01/2019,11:00 AM,11:49 AM,Advance,7
1.14,02/01/2019,11:00 AM,12:30 PM,Advance,4
2.14,02/01/2019,11:26 AM,12:00 PM,TurnUp,6
1.27,02/01/2019,11:30 AM,12:00 PM,Advance,1
1.5,02/01/2019,11:45 AM,12:25 PM,Advance,2
1.2,02/01/2019,1:00 PM,1:08 PM,Advance,6
3.05,02/01/2019,1:14 PM,1:14 PM,Advance,5
3.05,02/01/2019,1:15 PM,2:00 PM,Advance,2
3.22,02/01/2019,1:15 PM,1:15 PM,TurnUp,6
3.22,02/01/2019,1:30 PM,2:29 PM,Advance,1
4.17,02/01/2019,1:57 PM,2:20 PM,TurnUp,6
1.53,02/01/2019,2:00 PM,4:00 PM,Advance,1
1.52,02/01/2019,2:00 PM,2:01 PM,Advance,4
2.36,02/01/2019,2:31 PM,3:00 PM,TurnUp,8
1.43,02/01/2019,3:00 PM,3:30 PM,Advance,5
4.28,02/01/2019,3:34 PM,4:00 PM,TurnUp,15
2.22,03/01/2019,8:30 AM,9:00 AM,TurnUp,8
2.24,03/01/2019,8:39 AM,8:39 AM,TurnUp,2
2.24,03/01/2019,8:40 AM,8:40 AM,TurnUp,4
2.24,03/01/2019,8:41 AM,9:45 AM,TurnUp,2
1.53,03/01/2019,9:00 AM,10:00 AM,Advance,2
1.43,03/01/2019,9:00 AM,10:00 AM,Advance,3
1.14,03/01/2019,9:29 AM,10:00 AM,TurnUp,14
3.22,03/01/2019,9:30 AM,10:00 AM,Advance,3
2.26,03/01/2019,9:30 AM,12:30 PM,Advance,4
2.38,03/01/2019,9:30 AM,10:30 AM,Advance,2
4.19,03/01/2019,9:30 AM,11:00 AM,Advance,3
3.05,03/01/2019,10:00 AM,4:00 PM,Advance,1
3.2,03/01/2019,10:00 AM,1:00 PM,Advance,3
3.22,03/01/2019,10:00 AM,10:30 AM,Advance,2
2.37,03/01/2019,10:00 AM,3:00 PM,Advance,3
2.39,03/01/2019,10:00 AM,11:00 AM,Advance,8
4.05,03/01/2019,10:00 AM,11:00 AM,Advance,9
4.16,03/01/2019,10:00 AM,11:00 AM,Advance,9
4.17,03/01/2019,10:00 AM,11:00 AM,Advance,2
1.03,03/01/2019,10:00 AM,11:00 AM,Advance,2
1.04,03/01/2019,10:00 AM,2:00 PM,Advance,1
1.42,03/01/2019,10:00 AM,10:30 AM,Advance,3
4.28,03/01/2019,10:01 AM,11:00 AM,TurnUp,9
1.14,03/01/2019,10:05 AM,11:00 AM,TurnUp,8
2.23,03/01/2019,10:17 AM,11:30 AM,TurnUp,2
3.22,03/01/2019,10:30 AM,11:30 AM,Advance,2
2.22,03/01/2019,10:30 AM,11:00 AM,Advance,2
2.24,03/01/2019,10:30 AM,12:00 PM,Advance,2
2.36,03/01/2019,10:30 AM,4:30 PM,Advance,4
1.43,03/01/2019,10:57 AM,11:00 AM,TurnUp,4
3.11,03/01/2019,11:00 AM,11:07 AM,Advance,4
3.19,03/01/2019,11:00 AM,1:00 PM,Advance,1
2.18,03/01/2019,11:00 AM,11:47 AM,Advance,7
