Building,DateTime,Count
Hufflepuff,29/01/2019 06:00,1
Hufflepuff,29/01/2019 07:00,258
Hufflepuff,29/01/2019 08:00,420
Hufflepuff,29/01/2019 09:00,533
Hufflepuff,29/01/2019 10:00,562
Hufflepuff,29/01/2019 11:00,558
Hufflepuff,29/01/2019 12:00,548
Hufflepuff,29/01/2019 13:00,548
Hufflepuff,29/01/2019 14:00,500
Hufflepuff,29/01/2019 15:00,459
Hufflepuff,29/01/2019 16:00,288
Hufflepuff,29/01/2019 17:00,128
Hufflepuff,29/01/2019 18:00,54
Hufflepuff,29/01/2019 19:00,1
Hufflepuff,29/01/2019 20:00,1
Hufflepuff,30/01/2019 06:00,8
Hufflepuff,30/01/2019 07:00,218
Hufflepuff,30/01/2019 08:00,374
Hufflepuff,30/01/2019 09:00,477
Hufflepuff,30/01/2019 10:00,522
Hufflepuff,30/01/2019 11:00,551
Hufflepuff,30/01/2019 12:00,522
Hufflepuff,30/01/2019 13:00,527
Hufflepuff,30/01/2019 14:00,511
Hufflepuff,30/01/2019 15:00,452
Hufflepuff,30/01/2019 16:00,295
Hufflepuff,30/01/2019 17:00,136
Hufflepuff,30/01/2019 18:00,47
Hufflepuff,30/01/2019 19:00,1
Hufflepuff,30/01/2019 21:00,1
Hufflepuff,31/01/2019 06:00,12
Hufflepuff,31/01/2019 07:00,213
Hufflepuff,31/01/2019 08:00,349
Hufflepuff,31/01/2019 09:00,465
Hufflepuff,31/01/2019 10:00,522
Hufflepuff,31/01/2019 11:00,549
Hufflepuff,31/01/2019 12:00,515
Hufflepuff,31/01/2019 13:00,515
Hufflepuff,31/01/2019 14:00,486
Hufflepuff,31/01/2019 15:00,419
Hufflepuff,31/01/2019 16:00,256
Hufflepuff,31/01/2019 17:00,121
Hufflepuff,31/01/2019 18:00,62
Hufflepuff,31/01/2019 19:00,1
Hufflepuff,31/01/2019 20:00,2
Hufflepuff,31/01/2019 21:00,2
Hufflepuff,31/01/2019 22:00,2
Hufflepuff,01/02/2019 00:00,1
Hufflepuff,01/02/2019 06:00,4
Hufflepuff,01/02/2019 07:00,161
Hufflepuff,01/02/2019 08:00,272
Hufflepuff,01/02/2019 09:00,355
Hufflepuff,01/02/2019 10:00,393
Hufflepuff,01/02/2019 11:00,402
Hufflepuff,01/02/2019 12:00,388
Hufflepuff,01/02/2019 13:00,338
Hufflepuff,01/02/2019 14:00,309
Hufflepuff,01/02/2019 15:00,224
Hufflepuff,01/02/2019 16:00,137
Hufflepuff,01/02/2019 17:00,63
Hufflepuff,01/02/2019 18:00,27
Hufflepuff,01/02/2019 19:00,1
Hufflepuff,01/02/2019 20:00,1
Hufflepuff,01/02/2019 21:00,1
Hufflepuff,01/02/2019 22:00,1
Hufflepuff,01/02/2019 23:00,1
Hufflepuff,02/02/2019 08:00,1
Hufflepuff,02/02/2019 14:00,1
Hufflepuff,03/02/2019 13:00,1
Hufflepuff,03/02/2019 14:00,1
Hufflepuff,03/02/2019 16:00,2
Hufflepuff,03/02/2019 19:00,1
Hufflepuff,03/02/2019 21:00,1
Hufflepuff,04/02/2019 06:00,3
Hufflepuff,04/02/2019 07:00,222
Hufflepuff,04/02/2019 08:00,367
Hufflepuff,04/02/2019 09:00,459
Hufflepuff,04/02/2019 10:00,495
Hufflepuff,04/02/2019 11:00,502
Hufflepuff,04/02/2019 12:00,512
Hufflepuff,04/02/2019 13:00,503
Hufflepuff,04/02/2019 14:00,490
