Username,Team,Age_Range,Gender,Grade,Travel_Time,Special_Feature
24573,Sonorus,30-39,Male,A,30-59,
21301,Sonorus,50-59,Female,A,30-59,
13516,Obscuro,30-39,Female,A,60-89,
23511,Locomotor Mortis,50-59,Male,A,0-29,
24951,Fidelius Charm,50-59,Male,A,120-149,
16833,Sonorus,50-59,Male,A,150-179,
22796,Defodio,50-59,Female,A,30-59,
25713,Sonorus,60>,Female,A,60-89,
16348,Sonorus,40-49,Male,A,30-59,
18520,Sonorus,30-39,Female,A,60-89,
13439,Sonorus,30-39,Female,A,60-89,
27912,Sonorus,40-49,Male,A,30-59,
15284,Fidelius Charm,40-49,Male,A,180+,
19978,Confringo,50-59,Male,A,30-59,Standing Desk
22170,Confringo,50-59,Male,A,120-149,
11000,Locomotor Mortis,50-59,Female,A,0-29,
50584,Mobilicorpus,60>,Male,A,60-89,
13763,Duro,30-39,Male,A,30-59,Ergonomic Chair
28891,Sonorus,40-49,Male,A,150-179,
50394,Locomotor Mortis,50-59,Male,A,30-59,
22162,Mobilicorpus,50-59,Female,A,30-59,
18258,Fidelius Charm,60>,Male,A,0-29,
26258,Wingardium Leviosa,40-49,Male,A,90-119,
19520,Confringo,40-49,Female,A,0-29,
23662,Homenum Revelio,50-59,Male,A,30-59,
13263,Confringo,40-49,Male,A,150-179,
20848,Reducto,50-59,Male,A,30-59,
17238,Sonorus,40-49,Male,A,30-59,
12304,Imperio,50-59,Female,A,180+,
21656,Locomotor Mortis,50-59,Female,A,30-59,
19737,Locomotor Mortis,50-59,Male,A,60-89,
20029,Deprimo,50-59,Female,A,150-179,
10292,Sonorus,50-59,Male,A,60-89,
27370,Confringo,50-59,Male,A,60-89,
23086,Sonorus,50-59,Female,A,180+,
11880,Sonorus,50-59,Male,A,0-29,
28466,Sonorus,30-39,Male,A,30-59,
50396,Sonorus,40-49,Male,A,60-89,
24964,Wingardium Leviosa,40-49,NULL,A,30-59,
27774,Confringo,40-49,Male,A,30-59,
10640,Confringo,40-49,Female,A,60-89,
12661,Locomotor Mortis,40-49,Male,A,0-29,
24891,Sonorus,50-59,Female,A,60-89,
19132,Fidelius Charm,50-59,Male,A,150-179,
19736,Confringo,40-49,NULL,A,0-29,
28636,Mobilicorpus,60>,Female,A,120-149,
21930,Deprimo,40-49,Female,A,30-59,
23495,Deprimo,40-49,Male,A,60-89,
10870,Deprimo,40-49,Female,A,60-89,
23274,Impedimenta,40-49,Male,A,180+,
12368,Reducto,50-59,Female,A,120-149,
13213,Reducto,40-49,Male,A,30-59,
14212,Imperio,40-49,Male,A,60-89,
14840,Imperio,40-49,Female,A,60-89,
22237,Imperio,40-49,Female,A,120-149,
24568,Imperio,40-49,Female,A,120-149,
25435,Colloportus,50-59,Female,A,30-59,Standing Desk
14775,Deprimo,40-49,Female,A,0-29,
18188,Deprimo,30-39,Male,A,90-119,
25963,Geminio,40-49,Male,A,30-59,
21517,Confringo,50-59,Female,A,0-29,
21834,Confringo,60>,Male,A,150-179,
26717,Reducto,50-59,Male,A,30-59,
15283,Sonorus,40-49,Male,A,0-29,
